news_headline,news_article,news_category,compound
"['[', ""'"", 'cowin', ""'"", ',', ""'"", 'server', ""'"", ',', ""'"", 'crashes', ""'"", ',', ""'"", 'as', ""'"", ',', ""'"", 'vaccine', ""'"", ',', ""'"", 'registration', ""'"", ',', ""'"", 'opens', ""'"", ',', ""'"", 'for', ""'"", ',', ""'"", 'those', ""'"", ',', ""'"", 'above', ""'"", ',', ""'"", '18', ""'"", ']']",cowin server crashes as vaccine registration opens for those above 18,technology,0.0
"['[', ""'"", 'seeing', ""'"", ',', ""'"", 'traffic', ""'"", ',', ""'"", 'of', ""'"", ',', ""'"", '55k', ""'"", ',', ""'"", 'hits', ""'"", ',', ""'"", 'per', ""'"", ',', ""'"", 'sec', ""'"", ',', ""'"", 'cowin', ""'"", ',', ""'"", 'chief', ""'"", ',', ""'"", 'on', ""'"", ',', ""'"", 'vaccine', ""'"", ',', ""'"", 'registration', ""'"", ',', ""'"", 'for', ""'"", ',', ""'"", '18', ""'"", ']']",seeing traffic of 55k hits per sec: cowin chief on vaccine registration for 18+,technology,0.0
"['[', ""'"", '18', ""'"", ',', ""'"", 'people', ""'"", ',', ""'"", 'complain', ""'"", ',', ""'"", 'of', ""'"", ',', ""'"", 'finding', ""'"", ',', ""'"", 'vaccine', ""'"", ',', ""'"", 'slots', ""'"", ',', ""'"", 'for', ""'"", ',', ""'"", 'those', ""'"", ',', ""'"", 'above', ""'"", ',', ""'"", '45', ""'"", ',', ""'"", 'aarogya', ""'"", ',', ""'"", 'setu', ""'"", ',', ""'"", 'clarifies', ""'"", ']']",18+ people complain of finding vaccine slots for those above 45; aarogya setu clarifies,technology,-0.1531
"['[', ""'"", 'how', ""'"", ',', ""'"", 'can', ""'"", ',', ""'"", 'one', ""'"", ',', ""'"", 'register', ""'"", ',', ""'"", 'for', ""'"", ',', ""'"", 'covid19', ""'"", ',', ""'"", 'vaccination', ""'"", ',', ""'"", 'on', ""'"", ',', ""'"", 'cowin', ""'"", ']']",how can one register for covid-19 vaccination on co-win?,technology,0.0
"['[', ""'"", 'facebook', ""'"", ',', ""'"", 'mistakenly', ""'"", ',', ""'"", 'hides', ""'"", ',', ""'"", 'resignmodi', ""'"", ',', ""'"", 'posts', ""'"", ',', ""'"", 'issues', ""'"", ',', ""'"", 'statement', ""'"", ']']",facebook 'mistakenly' hides #resignmodi posts; issues statement,technology,-0.4404
"['[', ""'"", 'musk', ""'"", ',', ""'"", 'jokes', ""'"", ',', ""'"", 'bezos', ""'"", ',', ""'"", 'blue', ""'"", ',', ""'"", 'origin', ""'"", ',', ""'"", 'can', ""'"", ',', ""'"", 'not', ""'"", ',', ""'"", 'get', ""'"", ',', ""'"", 'it', ""'"", ',', ""'"", 'up', ""'"", ',', ""'"", 'after', ""'"", ',', ""'"", 'it', ""'"", ',', ""'"", 'protests', ""'"", ',', ""'"", 'spacexnasa', ""'"", ',', ""'"", 'contract', ""'"", ']']",musk jokes bezos' blue origin 'can't get it up' after it protests spacex-nasa contract,technology,0.0258
"['[', ""'"", '30yearold', ""'"", ',', ""'"", 'man', ""'"", ',', ""'"", 'buys', ""'"", ',', ""'"", 'googles', ""'"", ',', ""'"", 'argentina', ""'"", ',', ""'"", 'domain', ""'"", ',', ""'"", 'name', ""'"", ',', ""'"", 'for', ""'"", ',', ""'"", 'just', ""'"", ',', ""'"", '200', ""'"", ']']",30-year-old man buys google's argentina domain name for just ₹200,technology,0.0
"['[', ""'"", 'apples', ""'"", ',', ""'"", 'march', ""'"", ',', ""'"", 'quarter', ""'"", ',', ""'"", 'revenue', ""'"", ',', ""'"", 'hits', ""'"", ',', ""'"", 'record', ""'"", ',', ""'"", '896', ""'"", ',', ""'"", 'bn', ""'"", ',', ""'"", 'profit', ""'"", ',', ""'"", 'doubles', ""'"", ']']","apple's march quarter revenue hits record $89.6 bn, profit doubles",technology,0.4404
"['[', ""'"", 'samsung', ""'"", ',', ""'"", 'family', ""'"", ',', ""'"", 'to', ""'"", ',', ""'"", 'pay', ""'"", ',', ""'"", '1078', ""'"", ',', ""'"", 'bn', ""'"", ',', ""'"", 'in', ""'"", ',', ""'"", 's', ""'"", ',', ""'"", 'koreas', ""'"", ',', ""'"", 'largest', ""'"", ',', ""'"", 'inheritance', ""'"", ',', ""'"", 'taxes', ""'"", ']']",samsung family to pay $10.78 bn in s korea's largest inheritance taxes,technology,-0.1027
"['[', ""'"", 'sharing', ""'"", ',', ""'"", 'vaccine', ""'"", ',', ""'"", 'recipes', ""'"", ',', ""'"", 'with', ""'"", ',', ""'"", 'others', ""'"", ',', ""'"", 'will', ""'"", ',', ""'"", 'not', ""'"", ',', ""'"", 'help', ""'"", ',', ""'"", 'with', ""'"", ',', ""'"", 'manufacturing', ""'"", ',', ""'"", 'gates', ""'"", ']']",sharing vaccine recipes with others won't help with manufacturing: gates,technology,0.1386
