news_headline,news_article,news_category
CoWIN server crashes as vaccine registration opens for those above 18,"The servers of CoWIN website, UMANG app and Aarogya Setu app crashed after registration for vaccination for those between 18-45 years old opened at 4 pm. Users took to Twitter to complain about the servers crashing. The issue was fixed later, with Aarogya Setu tweeting, ""CoWIN Portal is working. There was a minor glitch at 4 pm that was fixed.""",technology
Seeing traffic of 55k hits per sec: CoWIN chief on vaccine registration for 18+,"After COVID-19 vaccine registration opened for all adults at 4pm on Wednesday, CoWIN chief RS Sharma tweeted, ""We have seen a traffic of 55,000 hits per second (on CoWIN website). System functioning as expected."" He added that there have been 79,65,720 registrations on CoWIN on Wednesday, ""most of these in...three hours (16:00-19:00) and mostly of 18-44 age group"".",technology
18+ people complain of finding vaccine slots for those above 45; Aarogya Setu clarifies,"After registration for COVID-19 vaccine opened up for all the adults, several people complained that they could only find vaccination slots reserved for those aged above 45. ""Vaccination appointments for 18 plus will be possible once the State Governments and Private Vaccination Centres schedule Vaccination sessions,"" Aarogya Setu tweeted. Phase 3 of the vaccination drive will start from May 1.",technology
How can one register for COVID-19 vaccination on Co-WIN?,"Registration for COVID-19 vaccination can be done either through Co-WIN website at 'cowin.gov.in' or through Aarogya Setu and UMANG apps. For registration through website, users will need to enter mobile number, get OTP, enter personal details and provide Photo ID proof. Up to four family members can be added for vaccination from one number and an appointment can be scheduled.",technology
Facebook 'mistakenly' hides #ResignModi posts; issues statement,"Facebook has issued a statement after it hid posts with #ResignModi from the social media platform for hours. ""We temporarily blocked this hashtag by mistake, not because the Indian government asked us to, and have since restored it,"" a Facebook spokesperson said. Earlier, Twitter removed some tweets, most of which criticised India's handling of pandemic, after the Centre's request.",technology
Musk jokes Bezos' Blue Origin 'can't get it up' after it protests SpaceX-NASA contract,"SpaceX CEO Elon Musk took a dig at Jeff Bezos' space startup Blue Origin after it challenged SpaceX's $2.9-billion contract to build lunar lander for NASA. Musk responded to Blue Origin's protest by tweeting, ""Can't get it up (to orbit) lol."" Blue Origin CEO Bob Smith had said that NASA erred in its assessment of the proposals submitted by SpaceX.",technology
30-year-old man buys Google's Argentina domain name for just ₹200,"A 30-year-old web designer managed to successfully buy Google Argentina's domain name 'google.com.ar' for just 270 argentine pesos (a little over ₹200) and redirect all its searches to his website. Nicolas Kuroña managed to do so after noticing the company's services were down. ""For a short term, the domain was acquired by someone else...the control was regained quickly,"" Google said.",technology
"Apple's March quarter revenue hits record $89.6 bn, profit doubles","Apple posted record March quarter revenue of $89.6 billion, a 54% jump from the same period in 2020, fueled by 5G iPhone 12 sales. Meanwhile, its profit doubled to $23.6 billion. The company's iPhone sales surged 66% to $47.9 billion while Mac sales hit $9.1 billion in the fiscal second quarter. The company announced a $90-billion share buyback on Wednesday.",technology
Samsung family to pay $10.78 bn in S Korea's largest inheritance taxes,"The family of late Samsung Chairman Lee Kun-hee has said it'll pay $10.78 billion in inheritance taxes, the largest-ever in South Korea, over a five-year period for his estate. The family plans to donate 23,000 pieces from Lee's art collection to help pay the tax. Lee, who died in October 2020, had shareholdings in Samsung affiliates valued at $17 billion.",technology
Sharing vaccine recipes with others won't help with manufacturing: Gates,"Bill Gates in an interview said sharing vaccine recipes with the world would not help with their manufacturing and distribution. ""There are only so many vaccine factories in the world, and people are very serious about...the safety of vaccines...The thing that's holding things back, in this case, isn't intellectual property. It's not like there's some idle vaccine factory,"" he added.",technology
